Total score,How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],Do you think the use of deepfake technology should be regulated by law? Why or why not?,Do you think the use of deepfake technology should be regulated by law? Why or why not? [Score],Do you think the use of deepfake technology should be regulated by law? Why or why not? [Feedback],"In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity.","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Score]","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Feedback]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use?","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Score]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Feedback]","What could be some advantages  of using deepfakes, given a specific context? Give examples.","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Score]","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Feedback]",According to you what are some serious negative consequences of using deepfakes? Give examples.,According to you what are some serious negative consequences of using deepfakes? Give examples. [Score],According to you what are some serious negative consequences of using deepfakes? Give examples. [Feedback]
8.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,Yeah; reduces creativity ,-- / 0,,None,-- / 0,,No,-- / 0,,None,-- / 0,,Reduces actual human intervention ,-- / 0,
7.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"Yes.beacause people can use it in an unethical manner
",-- / 0,,Yes,-- / 0,,Yes,-- / 0,,Fun content generation,-- / 0,,Maniuplation,-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,"It might be debatable but mostly it should be regulated by the law because the deepfake technology has its pros and cons but the cons are very serious like they can use your deepfake to  threaten you or frame you etc etc ,so the technology must be regulated in a way that the misuse must be minimized",-- / 0,,It can be used to make deepfake videos or audios whenever you are not available to attend an important session or like that so it can be used for such benefits ,-- / 0,,Yes they can be of huge use for creativity and innovation. The line must be drawn when the other person feels like their privacy is being invaded,-- / 0,,Deepfakes can be used to cover up your tasks which require your facial recognition etc,-- / 0,, they can use your deepfake to  threaten you or frame you,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,"yes definitely, because it provoking privacy",-- / 0,,"education ,entertainment",-- / 0,,"yaa,use it to recreate the values forgot by people,dont  misuse it",-- / 0,,recalling someone who passes away by making persons with ai,-- / 0,,"u know ai can do things about changing clothes, which is not good specially for women",-- / 0,
5.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,Yes they should be regulated as deepfakes as they can be used for spreading misinformation.,-- / 0,,In Education they can be used,-- / 0,,When the user doesn't know it is deepfake of not or when misinformation is being spread using deepfakes,-- / 0,,Visualising history for students,-- / 0,,Widely used for spreading misinformation or for even inciting violence,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,Yes its should be as it might to lead many complications (for ex: privacy),-- / 0,,i agree with the above examples,-- / 0,,Its better to react then use deepfake/ai as it kills creativity,-- / 0,,To make jokes and thats it,-- / 0,,"people have(and will) continue to use deepfake for notorious reasons like body morphing, faking evidence",-- / 0,
8.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,Yes,-- / 0,,yes,-- / 0,,yes,-- / 0,,yes,-- / 0,,yes,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,"Yes. If not regulated , people could create any photo/video of any person in any way they want .",-- / 0,,It can be used to generate deepfakes of actors in film industry in case the actor is unavailable at a crucial time.,-- / 0,,Using deepfakes to make inappropriate content about historical figure would be deemed unethical whereas using deepfakes to recreate historical incidences would be ethical and educational.,-- / 0,,Deepfakes can be used for educational purposes,-- / 0,,Deepfakes can be used to generate inappropriate content about people ,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,"I think if it is being used for unethical and for sensitive issues there should definitely be laws passed, but in general no.",-- / 0,,for entertainment purposes with consent of individuals i think deepfakes can be helpful,-- / 0,,"nah i think thats pushing it, after all our emotions are what make us humans and i dont think deepfakes should be used for educational purposes",-- / 0,,as mentioned above,-- / 0,,it can make people uncomfortable and spread misinformation and also increase scams,-- / 0,
5.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,"Yes, I think it should be regulated by law because if its not it can be used to commit many frauds and cyber crimes",-- / 0,,yes it can be used in some cases like maybe for entertainment purposes or for educational purposes as well,-- / 0,,"yes it can be used in such creative ways.
But it shouldnt be used to make deepfake of other people without their consent",-- / 0,,using someone's voice or photo to spread false content,-- / 0,,It can be used to commit frauds,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,Yes it should be regulated as it may be misused to create fake Identities or to spread misinformation about an entity ,-- / 0,,Yes all the above mentioned cases,-- / 0,,"As long as it is not identify fraud,it is ethical",-- / 0,,Educational purposes... consented entertainment purpose,-- / 0,,"Misinformation, demeanor of famous entities etc",-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,It should be since it has a lot of bad affects.,-- / 0,,for campaigning,-- / 0,,yes. It has to stop when there is no intervention of human creativity required.,-- / 0,,"campaigning,advertisements",-- / 0,,Making someone guilty in a crime who is totally innocent,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,yes it shud. can cause a lot of problems.,-- / 0,,movies,-- / 0,,yes,-- / 0,,better understanding of things that are hard to visualise,-- / 0,,fake information spreading. ,-- / 0,
4.00 / 10,I am not aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,Yes it should be regulated as deepfake can be used to make derogatory and fake news viral on social media and wrongfully target specific groups or people leading to increase in misinformation among common people. ,-- / 0,,The group or people who will be related or affected by the usage of deepfake must be consulted before using deepfake,-- / 0,,"Yes it can be used for the following positive reasons, but the line should be made ",-- / 0,,Generating scenes where stuntmen can be at risk,-- / 0,,misinformation ,-- / 0,
5.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"It shouldnt becoz then ppl will use it for defamation, or other bad stuff.",-- / 0,,"it can be used in call centres, ai chat assistants, but with heavy regulations and monitoring. ",-- / 0,,"yeah u can use, no problem. but dont use it to manupilate or show false information",-- / 0,,u can use it in call centres,-- / 0,,"u can make someone speak something on video, which they would willingly do in real life",-- / 0,
6.00 / 10,I am not aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,Yes; It is important to not allow false information to be spread. This would affect law and court trials immensely(in an adverse way),-- / 0,,It may be useful for education to make animations which would be easier to vizualize.,-- / 0,,All deepfakes must be explicitly mentioned. ,-- / 0,,Mentioned above,-- / 0,,Mentioned above,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,"Yes, as people can be portrayed in a wrong way",-- / 0,,"sure, by informing users beforehand and if it's not harmful to any person",-- / 0,,"Yes, it can be done but the government should lay out strict rules on their use. It shouldn't be offensive to anyone.",-- / 0,,Repetitive works can be automated and done easily and can reduce cost to the firm. ,-- / 0,,People will misuse this technology by creating stuff of people which the people don't want.,-- / 0,
8.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,"Yes, it is getting too good and realistic.",-- / 0,,Deepfakes could be used in films with consent to speed up shooting process,-- / 0,,Use of deepfake needs to be consensual. Any deepfake that is made without consent needs to be illegal,-- / 0,,"interactive education, perhaps it could help students interact with people from certain events",-- / 0,,deepfake blackmail videos/deepfake fake endorsements of products,-- / 0,
4.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,yes,-- / 0,,entertainment,-- / 0,,yes,-- / 0,,usimg deepfakes of dead,-- / 0,,cannot distinguish between reality and deepfake,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,yes deepfake should be regulated but with limited access because it can be very helpful to study historical and mythical figures,-- / 0,,yeah it can be used for educational purposes like we can bring historical figures to life and study about them,-- / 0,,yes it can be use to study mythical figures,-- / 0,,using deepfake one can express oneself using other's body,-- / 0,,using other person's face or body to make inappropriate videos or images,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,"Yes, it should be regulated by law. Rampant usage of deepfake can be harmful to people and their rights.",-- / 0,,"For creation of youtube videos, but using the permission of the person.",-- / 0,,Yes,-- / 0,,Youtube video,-- / 0,,Illegitimate content,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,Yeah,-- / 0,,-NA-,-- / 0,,yeah it can be used.,-- / 0,,Recreating memories we cherish.,-- / 0,,Scamming people by giving a sense of trust.,-- / 0,
8.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,no,-- / 0,,"yea, for gandhijis birthday we can make a deepfake of him adresssing the nation",-- / 0,,"yes, the line is drawn when it is used for deepfaking personalties and spreading wrong information about their beliefs and opinions.",-- / 0,,fun,-- / 0,,spread of misinformation,-- / 0,
3.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"yes, can be used for malpractices",-- / 0,,education,-- / 0,,"yes, the line is when it starts to negatively affect someone",-- / 0,,Can be used for bringing historical figures to life making understanding easy,-- / 0,,Scams,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"yes, because it can be used for wrong purposes",-- / 0,,Yeah It can be used.,-- / 0,,"Yes It should be used,however it shouldnt cross personal boundaries and hurt the emotions of the people",-- / 0,,ok,-- / 0,,ok,-- / 0,
4.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,Yes as it can be used to do cybercrimes.,-- / 0,,Politics,-- / 0,,Yes.,-- / 0,,To generate images and videos like before.,-- / 0,,Generating images of people without their cosent and using it for wrong purposes.,-- / 0,
5.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,"Yes, since it can be used for illegal/blackmail purposes",-- / 0,,for entertainment purposes,-- / 0,,If it doesn't harm or hurt anyone's beliefs then it can be considered ethical,-- / 0,,for entertainment or eduation,-- / 0,,Losing reputation in society,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,Yes because it should only be used for good purpose and ethically.,-- / 0,,In education it can be used ethically to make educational videos which would help students.,-- / 0,,Yes it can be used to bring historical figures back to life for teaching purpose as students would better understand the history.It's unethical use will be using it for entertainment purpose or on social media as meme.,-- / 0,,In education,-- / 0,,Lead to negativity,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,Yes. It can be used in unethical ways to defame someone,-- / 0,,Can be used in entertainment industry when actors are unavailable ,-- / 0,,Yes if the person is informed beforehand and is ok with it then the use is ethical,-- / 0,,"In fast and furious 7 after the actor Paul Walker passed away, the ending scenes were shot with his brother using deepfakes",-- / 0,,Celebrity deepfakes can be used to promote products they don't endorse,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"No, if govt regulates, it takes away the freedom of the internet.",-- / 0,,"Deepfake can be ethically used as long as the consent of the person being deepfaked is taken. if it has, it can be used for wahtever purpose in their repective field. eg; alakh for education",-- / 0,,"it surely can, it can be used in museums and historical places, to depict the ancient times and prominent figures of the era",-- / 0,," it can be used in museums and historical places, to depict the ancient times and promiennt figures of the era",-- / 0,,"it is used in the adult industry, espeically to mimic famous women. THIS MUST be restricted by the gvt and be banned. ",-- / 0,
